frame,velocidade_media,aceleracao_media,jitter_medio,fluidez_movimento,confianca_media,confianca_min,confianca_std,total_pessoas,video,tracking,classe
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
