frame,velocidade_media,aceleracao_media,jitter_medio,fluidez_movimento,confianca_media,confianca_min,confianca_std,total_pessoas,video,tracking,metodo_suavizacao,classe
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_360_x264,DeepSORT,TFT,normal
1,0.2043578326702118,0.18483473360538483,0.0,0.9723631593297726,0.0,0.0,0.0,0,Normal_Videos_360_x264,DeepSORT,TFT,normal
2,0.31390926241874695,0.20780935883522034,0.5963284485081808,0.9787047536994784,0.4152476191520691,0.007063052151352167,0.34846964478492737,1,Normal_Videos_360_x264,DeepSORT,TFT,normal
3,0.285513699054718,0.15303528308868408,0.6777315916737775,0.9929579863640062,0.4147223234176636,0.006596583407372236,0.35160624980926514,2,Normal_Videos_360_x264,DeepSORT,TFT,normal
4,0.2905959188938141,0.16331516206264496,0.6718305359038588,0.9867786144122006,0.42054274678230286,0.0154874911531806,0.3447287678718567,2,Normal_Videos_360_x264,DeepSORT,TFT,normal
5,0.2648560404777527,0.15868979692459106,0.7288825748040398,0.9891006951914124,0.44376885890960693,0.010175400413572788,0.3541572690010071,2,Normal_Videos_360_x264,DeepSORT,TFT,normal
6,0.23551476001739502,0.11696651577949524,0.6224314204047139,0.9941126708753528,0.4306328594684601,0.01862703077495098,0.3363490700721741,3,Normal_Videos_360_x264,DeepSORT,TFT,normal
7,0.2549113631248474,0.10714586079120636,0.5875070694676323,0.9935336493133056,0.15044593811035156,0.014961962588131428,0.20057319104671478,3,Normal_Videos_360_x264,DeepSORT,TFT,normal
8,0.2690526247024536,0.13738538324832916,0.6797098421303854,0.9867613807718786,0.4176987409591675,0.03217366337776184,0.30029889941215515,3,Normal_Videos_360_x264,DeepSORT,TFT,normal
9,0.24627119302749634,0.15372531116008759,0.6304141281061755,0.99059328863882,0.4162251949310303,0.017696965485811234,0.3398336172103882,3,Normal_Videos_360_x264,DeepSORT,TFT,normal
10,0.2302635759115219,0.1291673630475998,0.6684249276926997,0.9862518485738154,0.6949781775474548,0.03197057172656059,0.3394109904766083,4,Normal_Videos_360_x264,DeepSORT,TFT,normal
11,0.2204235941171646,0.12179619073867798,0.5840105059040259,0.988563088217009,0.6641073822975159,0.07433127611875534,0.31428635120391846,4,Normal_Videos_360_x264,DeepSORT,TFT,normal
12,0.24045857787132263,0.13696564733982086,0.6211898058500918,0.9923019241274045,0.36653488874435425,0.007366558071225882,0.3279336094856262,4,Normal_Videos_360_x264,DeepSORT,TFT,normal
13,0.2677057385444641,0.15045848488807678,0.6291095999201984,0.9882517859194108,0.47426363825798035,0.024349864572286606,0.35247477889060974,4,Normal_Videos_360_x264,DeepSORT,TFT,normal
14,0.23131504654884338,0.13581471145153046,0.758423825983262,0.9894661648263712,0.4151487648487091,0.009289443492889404,0.3394523561000824,4,Normal_Videos_360_x264,DeepSORT,TFT,normal
